location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200206T1900,5.6205287,59.0,3.7064266,330.94543
20200206T2000,4.9305286,62.0,1.08,180.0
20200206T2100,4.5705285,64.0,2.0364676,135.0
20200206T2200,4.1105285,60.0,5.3999996,89.99999
20200206T2300,3.3605285,47.0,7.928178,92.602554
20200207T0000,2.2905285,48.0,7.9932976,97.76516
20200207T0100,1.4205287,50.0,8.350138,97.431404
20200207T0200,0.47052866,55.0,8.350138,97.431404
20200207T0300,-0.50947136,65.0,7.342588,101.30993
20200207T0400,-1.0194713,71.0,6.5693827,99.46232
20200207T0500,-0.95947134,73.0,5.4833565,113.19859
20200207T0600,-0.96947134,74.0,5.315336,118.30075
20200207T0700,-0.9794713,76.0,6.763786,115.20112
20200207T0800,-0.69947135,74.0,7.0911775,113.96249
20200207T0900,0.7105287,66.0,7.4128532,119.054596
20200207T1000,3.3705285,59.0,10.464797,116.56505
20200207T1100,5.7205286,52.0,12.245293,114.30454
20200207T1200,6.9805284,48.0,11.503113,110.1363
20200207T1300,8.370529,44.0,14.578888,110.22486
20200207T1400,9.480529,42.0,13.441071,110.376434
20200207T1500,10.060529,42.0,10.390226,104.03624
20200207T1600,9.990529,44.0,9.746631,94.23639
20200207T1700,9.110529,50.0,8.669949,94.76365
20200207T1800,7.5505285,57.0,10.137692,106.50436
20200207T1900,4.6405287,72.0,9.511088,119.47589
20200207T2000,3.4005284,71.0,9.290511,125.537674
20200207T2100,2.6005285,66.0,9.19939,120.57922
20200207T2200,2.2605286,66.0,7.729527,117.75854
20200207T2300,1.6805286,67.0,6.763786,115.20112
20200208T0000,1.7305287,62.0,5.495161,121.6075
20200208T0100,2.1105285,59.0,7.289445,122.90524
20200208T0200,2.2405286,59.0,7.729527,117.75854
20200208T0300,2.4005284,56.0,7.8954163,114.22774
20200208T0400,2.6005285,53.0,7.24486,116.56505
20200208T0500,3.0605285,51.0,6.6185193,112.380135
20200208T0600,2.7405286,54.0,7.072878,104.74355
20200208T0700,1.7405287,61.0,6.9899354,101.88866
20200208T0800,1.0805286,68.0,7.6367526,98.1301
20200208T0900,1.4705287,77.0,7.072878,104.74355
20200208T1000,3.6905286,74.0,7.42159,112.83366
20200208T1100,6.0805287,70.0,6.28713,103.24051
20200208T1200,8.260529,58.0,2.0991426,59.036232
20200208T1300,9.720529,49.0,1.484318,104.03624
20200208T1400,10.640529,49.0,2.9024127,119.74488
20200208T1500,11.250529,50.0,6.28713,113.62937
20200208T1600,11.810529,51.0,6.2145634,100.00798
20200208T1700,11.380529,54.0,6.924738,98.97262
20200208T1800,10.440529,57.0,9.19939,120.57922
20200208T1900,7.6205287,64.0,8.225035,156.8014
20200208T2000,5.3805285,50.0,9.449572,162.25533
20200208T2100,4.4905286,53.0,9.531505,169.11447
20200208T2200,5.9805284,59.0,10.08,180.0
20200208T2300,6.0505285,72.0,9.47012,188.74615
20200209T0000,5.5505285,79.0,7.928178,182.60257
20200209T0100,5.540529,79.0,6.12,151.9275
20200209T0200,5.3905287,80.0,7.4128532,150.94539
20200209T0300,5.3105288,78.0,7.5685663,154.65382
20200209T0400,5.0105286,78.0,8.287822,145.61966
20200209T0500,5.3405285,74.0,9.511088,150.52411
20200209T0600,4.8805285,77.0,10.182337,171.8699
20200209T0700,4.4505286,80.0,9.531505,190.88553
20200209T0800,4.0805287,80.0,6.162207,186.70984
20200209T0900,4.6105285,75.0,3.396233,122.00538
20200209T1000,6.5105286,69.0,3.6,180.0
20200209T1100,10.780529,50.0,12.181624,235.8403
20200209T1200,12.110529,46.0,23.233252,229.39871
20200209T1300,12.060529,48.0,29.836594,221.57614
20200209T1400,12.310529,45.0,31.845251,222.7094
20200209T1500,12.100529,42.0,36.001797,220.53915
20200209T1600,11.8005295,45.0,34.63492,223.3153
20200209T1700,11.140529,48.0,37.179478,226.56937
20200209T1800,10.850529,51.0,39.82843,220.60129
